"";"mean";"sd";"5.5%";"94.5%";"rhat";"ess_bulk"
"z_rNV_T[120]";-0,5165248045868;0,250979941695349;-0,92034831;-0,11984624;1,04420360719226;363,314447678933
"z_rNV_T[121]";-0,37401212305128;0,249428890054261;-0,765518735;0,0164742180000001;1,04900908002138;337,991898374963
"z_rNV_T[122]";-0,59636503556;0,255067016879333;-1,0003708;-0,18728716;1,04241010751055;414,476875023792
"z_rNV_T[123]";-0,09317924084498;0,254326242277337;-0,50647109;0,30714732;1,04358216274126;415,178257174065
"z_rNV_T[124]";0,3916600852402;0,255890658854452;-0,026635126;0,790744005;1,04316171125313;412,816629691699
"z_rNV_T[125]";0,3518581976302;0,250028080997958;-0,0451281915;0,751197935;1,04504052228653;388,273362208932
"z_rNV_T[126]";-0,34134744400962;0,224363835286924;-0,700450815;0,0118861200000001;1,02444708912161;775,405925840297
"z_rNV_T[127]";0,596279198264;0,249746479709642;0,19270798;0,988545065;1,0449010407077;399,035230706631
"z_rNV_T[128]";-0,9028688764;0,225503891219082;-1,2646311;-0,549035095;1,02590664394567;809,607616102695
"z_rNV_T[129]";-0,1891306616516;0,228854579325784;-0,565163155;0,17020482;1,02950559335398;631,930720824221
"z_rNV_T[130]";-0,24144869546974;0,252357888370615;-0,6448999;0,154357665;1,04747020496085;379,347738307797
"z_rNV_T[131]";0,14311667842216;0,227679159866219;-0,22072039;0,504507575;1,02884308885089;699,930710046793
"z_rNV_T[132]";-0,3374321587858;0,226288656370251;-0,70273667;0,0224980305;1,02296293684303;851,191963230809
"z_rNV_T[133]";0,737305459948;0,22275610444488;0,380830915;1,09815045;1,02630604837456;804,969011684634
"z_rNV_T[134]";-1,1561437956;0,247161035455136;-1,55150385;-0,761024555;1,04316099894144;415,216449304024
"z_rNV_T[135]";0,19815025666934;0,249592707911874;-0,19907132;0,59739533;1,04434633152027;411,055596134925
"z_rNV_T[136]";-0,14514274480198;0,228897289739915;-0,52000812;0,22464085;1,02811304539833;748,974252730036
"z_rNV_T[137]";0,000959351403818;0,253049635442187;-0,40848497;0,404888255;1,04755247528189;344,590148808499
"z_rNV_T[138]";0,319014328359;0,228564829195026;-0,0377069965;0,681513775;1,02720020675834;704,789470960197
"z_rNV_T[139]";-0,03879323624966;0,225402007393481;-0,400941785;0,315589665;1,02660824457251;817,419338495281
"z_rNV_T[140]";0,66063326256;0,177442093662663;0,378477255;0,950659;1,03897021228474;420,065540590624
"z_rNV_T[141]";1,0628249412;0,181879678824107;0,770733365;1,3512476;1,03494139478221;433,180552650588
"z_rNV_T[142]";-0,27154992182826;0,179107588906853;-0,559248065;0,0131605045;1,03757627313354;396,717709822904
"z_rNV_T[143]";0,4433128035462;0,174090970988815;0,169822885;0,72669252;1,03785737280853;408,029301809062
